Celsius,Fahrenheit,Humidity
30.0,86.0,37.660359157056
31.0,87.8,33.323791846561
32.0,89.6,27.597538487345
33.0,91.4,26.083575214914
33.0,91.4,22.816934077339
33.0,91.4,24.402090118342
32.0,89.6,27.597538487345
31.0,87.8,27.328280952245
30.0,86.0,28.938443399915
27.5,81.5,37.207584238964
27.2,80.96,38.118256682952
27.0,80.6,39.338864143364
26.5,79.7,41.867159806235
26.3,79.34,42.92317438069
26.0,78.8,44.557102524017
25.7,78.25999999999999,45.653348074708
25.5,77.9,45.59872731106
25.5,77.9,45.301401082328
25.2,77.36,45.516684344093
25.0,77.0,46.062284319947
24.8,76.64,46.310587711839
24.5,76.1,46.228736372145
24.4,75.92,45.898279722853
24.0,75.2,47.012781548979
23.8,74.84,47.895682539065
23.6,74.48,49.766723547466
23.5,74.3,50.39696827263
23.3,73.94,52.704895970864
23.0,73.4,53.669479689254
23.0,73.4,54.020900863643
24.0,75.2,50.200126046479
24.0,75.2,53.576211354435
24.0,75.2,50.200126046479
24.0,75.2,50.200126046479
24.0,75.2,50.200126046479
24.0,75.2,50.200126046479
25.0,77.0,47.284006665151
27.0,80.6,42.005936969817
27.0,80.6,42.005936969817
27.0,80.6,42.005936969817
29.0,84.2,37.382032172054
30.0,86.0,33.04672341226
30.0,86.0,33.04672341226
31.0,87.8,31.207972366753
30.0,86.0,33.04672341226
30.0,86.0,33.04672341226
29.0,84.2,37.382032172054
29.0,84.2,37.382032172054
28.0,82.4,42.282489622757
27.5,81.5,42.419474065761
27.1,80.78,43.993836769171
27.0,80.6,44.541111469836
26.9,80.42,45.095162596011
27.0,80.6,45.415587175385
25.7,78.25999999999999,53.663133238924
24.8,76.64,58.082284382368
24.6,76.28,60.298507140606
24.1,75.38,63.328384120224
23.7,74.66,66.115653820611
23.9,75.02,64.501885021309
24.0,75.2,62.90526444263
24.0,75.2,62.90526444263
23.8,74.84,62.064672708168
23.8,74.84,66.13642109597
23.6,74.48,69.085786763794
23.6,74.48,66.09486940505
23.5,74.3,68.631762139143
23.6,74.48,64.028745049289
24.0,75.2,64.933548215648
23.0,73.4,73.461696749353
23.0,73.4,73.461696749353
24.0,75.2,73.632873645268
24.0,75.2,69.163192099994
25.0,77.0,65.145510455717
26.0,78.8,61.388519989659
27.0,80.6,57.873653251264
27.0,80.6,54.334416034089
28.0,82.4,51.245730319259
27.0,80.6,54.334416034089
26.0,78.8,61.388519989659
26.0,78.8,57.634332679046
25.0,77.0,65.145510455717
23.0,73.4,73.461696749353
22.2,71.96,75.674953862224
22.2,71.96,75.674953862224
22.2,71.96,75.199462836546
22.3,72.14,75.215759746493
22.3,72.14,75.215759746493
22.2,71.96,75.674953862224
22.2,71.96,75.674953862224
22.2,71.96,75.674953862224
22.1,71.78,76.618351666408
22.1,71.78,77.588467245036
22.0,71.6,78.062863996432
22.1,71.78,76.618351666408
22.0,71.6,78.062863996432
21.5,70.7,83.570696862787
21.3,70.34,85.665453238729
21.1,69.98,88.361979631422
21.0,69.8,88.353665604321
20.9,69.62,90.013664432193
20.7,69.25999999999999,91.697496318332
20.6,69.08,92.839980753296
21.0,69.8,88.353665604321
21.0,69.8,88.353665604321
21.0,69.8,88.353665604321
21.0,69.8,88.353665604321
22.0,71.6,83.107688157695
22.0,71.6,83.107688157695
22.0,71.6,83.107688157695
23.0,73.4,78.209169794993
23.0,73.4,83.223812842562
24.0,75.2,73.632873645268
26.0,78.8,65.355762196942
27.0,80.6,57.873653251264
27.0,80.6,57.873653251264
28.0,82.4,54.583776611198
27.0,80.6,57.873653251264
27.0,80.6,57.873653251264
26.0,78.8,61.388519989659
24.0,75.2,78.354092127266
23.1,73.58,83.23536182023
22.7,72.86,86.872119433362
22.5,72.5,88.477468647208
22.5,72.5,89.024637259061
22.2,71.96,90.106614138036
